Read length	Number of total reads	Extract	Number of damaged reads	Sample	Type	Dup
63	585	1	115	11A	SNPs	63-1-11A-SNPs
63	506	1	9	I4411	SNPs	63-1-I4411-SNPs
63	103	1	14	11B	SNPs	63-1-11B-SNPs
63	97	1	12	11B_ss	SNPs	63-1-11B_ss-SNPs
63	318	2	39	11A	SNPs	63-2-11A-SNPs
63	56	2	5	11B	SNPs	63-2-11B-SNPs
63	157	3	21	11A	SNPs	63-3-11A-SNPs
63	55	3	28	11B	SNPs	63-3-11B-SNPs
64	8	1	1	11A	Indels	64-1-11A-Indels
64	63	1	2	I4411	Indels	64-1-I4411-Indels
64	1	1	0	11B_ss	Indels	64-1-11B_ss-Indels
64	3	2	0	11A	Indels	64-2-11A-Indels
64	559	1	101	11A	Normal	64-1-11A-Normal
64	2041	1	34	I4411	Normal	64-1-I4411-Normal
64	83	1	16	11B	Normal	64-1-11B-Normal
64	105	1	11	11B_ss	Normal	64-1-11B_ss-Normal
64	288	2	37	11A	Normal	64-2-11A-Normal
64	59	2	8	11B	Normal	64-2-11B-Normal
64	131	3	26	11A	Normal	64-3-11A-Normal
64	38	3	17	11B	Normal	64-3-11B-Normal
64	551	1	100	11A	SNPs	64-1-11A-SNPs
64	1978	1	32	I4411	SNPs	64-1-I4411-SNPs
64	83	1	16	11B	SNPs	64-1-11B-SNPs
64	104	1	11	11B_ss	SNPs	64-1-11B_ss-SNPs
64	285	2	37	11A	SNPs	64-2-11A-SNPs
64	59	2	8	11B	SNPs	64-2-11B-SNPs
64	131	3	26	11A	SNPs	64-3-11A-SNPs
64	38	3	17	11B	SNPs	64-3-11B-SNPs
65	9	1	1	11A	Indels	65-1-11A-Indels
65	86	1	2	I4411	Indels	65-1-I4411-Indels
65	1	1	0	11B	Indels	65-1-11B-Indels
65	4	2	2	11A	Indels	65-2-11A-Indels
65	3	2	0	11B	Indels	65-2-11B-Indels
65	2	3	0	11A	Indels	65-3-11A-Indels
65	478	1	112	11A	Normal	65-1-11A-Normal
65	2406	1	45	I4411	Normal	65-1-I4411-Normal
65	77	1	9	11B	Normal	65-1-11B-Normal
65	93	1	12	11B_ss	Normal	65-1-11B_ss-Normal
65	234	2	26	11A	Normal	65-2-11A-Normal
65	53	2	9	11B	Normal	65-2-11B-Normal
65	103	3	18	11A	Normal	65-3-11A-Normal
65	38	3	16	11B	Normal	65-3-11B-Normal
65	469	1	111	11A	SNPs	65-1-11A-SNPs
65	2320	1	43	I4411	SNPs	65-1-I4411-SNPs
65	76	1	9	11B	SNPs	65-1-11B-SNPs
65	93	1	12	11B_ss	SNPs	65-1-11B_ss-SNPs
65	230	2	24	11A	SNPs	65-2-11A-SNPs
65	50	2	9	11B	SNPs	65-2-11B-SNPs
65	101	3	18	11A	SNPs	65-3-11A-SNPs
65	38	3	16	11B	SNPs	65-3-11B-SNPs
66	8	1	1	11A	Indels	66-1-11A-Indels
66	90	1	1	I4411	Indels	66-1-I4411-Indels
66	2	1	0	11B	Indels	66-1-11B-Indels
66	3	1	0	11B_ss	Indels	66-1-11B_ss-Indels
66	4	2	1	11A	Indels	66-2-11A-Indels
66	1	2	0	11B	Indels	66-2-11B-Indels
66	2	3	0	11A	Indels	66-3-11A-Indels
66	2	3	0	11B	Indels	66-3-11B-Indels
66	406	1	89	11A	Normal	66-1-11A-Normal
66	2409	1	52	I4411	Normal	66-1-I4411-Normal
66	73	1	9	11B	Normal	66-1-11B-Normal
66	110	1	5	11B_ss	Normal	66-1-11B_ss-Normal
66	247	2	38	11A	Normal	66-2-11A-Normal
66	55	2	4	11B	Normal	66-2-11B-Normal
66	124	3	14	11A	Normal	66-3-11A-Normal
66	28	3	16	11B	Normal	66-3-11B-Normal
66	398	1	88	11A	SNPs	66-1-11A-SNPs
66	2319	1	51	I4411	SNPs	66-1-I4411-SNPs
66	71	1	9	11B	SNPs	66-1-11B-SNPs
66	107	1	5	11B_ss	SNPs	66-1-11B_ss-SNPs
66	243	2	37	11A	SNPs	66-2-11A-SNPs
66	54	2	4	11B	SNPs	66-2-11B-SNPs
66	122	3	14	11A	SNPs	66-3-11A-SNPs
66	26	3	16	11B	SNPs	66-3-11B-SNPs
67	13	1	0	11A	Indels	67-1-11A-Indels
67	62	1	1	I4411	Indels	67-1-I4411-Indels
67	3	1	1	11B	Indels	67-1-11B-Indels
67	1	1	0	11B_ss	Indels	67-1-11B_ss-Indels
67	3	2	1	11A	Indels	67-2-11A-Indels
67	3	2	0	11B	Indels	67-2-11B-Indels
67	2	3	0	11A	Indels	67-3-11A-Indels
67	402	1	77	11A	Normal	67-1-11A-Normal
67	2270	1	43	I4411	Normal	67-1-I4411-Normal
67	65	1	5	11B	Normal	67-1-11B-Normal
67	100	1	9	11B_ss	Normal	67-1-11B_ss-Normal
67	223	2	29	11A	Normal	67-2-11A-Normal
67	54	2	1	11B	Normal	67-2-11B-Normal
67	119	3	14	11A	Normal	67-3-11A-Normal
67	17	3	5	11B	Normal	67-3-11B-Normal
67	389	1	77	11A	SNPs	67-1-11A-SNPs
67	2208	1	42	I4411	SNPs	67-1-I4411-SNPs
67	62	1	4	11B	SNPs	67-1-11B-SNPs
67	99	1	9	11B_ss	SNPs	67-1-11B_ss-SNPs
67	220	2	28	11A	SNPs	67-2-11A-SNPs
67	51	2	1	11B	SNPs	67-2-11B-SNPs
67	117	3	14	11A	SNPs	67-3-11A-SNPs
67	17	3	5	11B	SNPs	67-3-11B-SNPs
68	7	1	1	11A	Indels	68-1-11A-Indels
68	70	1	1	I4411	Indels	68-1-I4411-Indels
68	1	1	0	11B	Indels	68-1-11B-Indels
68	4	1	0	11B_ss	Indels	68-1-11B_ss-Indels
68	3	2	1	11A	Indels	68-2-11A-Indels
68	1	2	0	11B	Indels	68-2-11B-Indels
68	5	3	0	11A	Indels	68-3-11A-Indels
68	1	3	0	11B	Indels	68-3-11B-Indels
68	365	1	68	11A	Normal	68-1-11A-Normal
68	2218	1	37	I4411	Normal	68-1-I4411-Normal
68	77	1	3	11B	Normal	68-1-11B-Normal
68	96	1	9	11B_ss	Normal	68-1-11B_ss-Normal
68	203	2	21	11A	Normal	68-2-11A-Normal
68	54	2	5	11B	Normal	68-2-11B-Normal
68	106	3	9	11A	Normal	68-3-11A-Normal
68	32	3	11	11B	Normal	68-3-11B-Normal
68	358	1	67	11A	SNPs	68-1-11A-SNPs
68	2148	1	36	I4411	SNPs	68-1-I4411-SNPs
68	76	1	3	11B	SNPs	68-1-11B-SNPs
68	92	1	9	11B_ss	SNPs	68-1-11B_ss-SNPs
68	200	2	20	11A	SNPs	68-2-11A-SNPs
68	53	2	5	11B	SNPs	68-2-11B-SNPs
68	101	3	9	11A	SNPs	68-3-11A-SNPs
68	31	3	11	11B	SNPs	68-3-11B-SNPs
69	8	1	2	11A	Indels	69-1-11A-Indels
69	78	1	0	I4411	Indels	69-1-I4411-Indels
69	2	1	0	11B	Indels	69-1-11B-Indels
69	3	1	2	11B_ss	Indels	69-1-11B_ss-Indels
69	3	2	0	11A	Indels	69-2-11A-Indels
69	1	2	0	11B	Indels	69-2-11B-Indels
69	3	3	0	11A	Indels	69-3-11A-Indels
69	360	1	67	11A	Normal	69-1-11A-Normal
69	2201	1	31	I4411	Normal	69-1-I4411-Normal
69	95	1	3	11B	Normal	69-1-11B-Normal
69	83	1	7	11B_ss	Normal	69-1-11B_ss-Normal
69	157	2	10	11A	Normal	69-2-11A-Normal
69	56	2	1	11B	Normal	69-2-11B-Normal
69	105	3	9	11A	Normal	69-3-11A-Normal
69	20	3	7	11B	Normal	69-3-11B-Normal
69	352	1	65	11A	SNPs	69-1-11A-SNPs
69	2123	1	31	I4411	SNPs	69-1-I4411-SNPs
69	93	1	3	11B	SNPs	69-1-11B-SNPs
69	80	1	5	11B_ss	SNPs	69-1-11B_ss-SNPs
69	154	2	10	11A	SNPs	69-2-11A-SNPs
69	55	2	1	11B	SNPs	69-2-11B-SNPs
69	102	3	9	11A	SNPs	69-3-11A-SNPs
69	20	3	7	11B	SNPs	69-3-11B-SNPs
70	8	1	2	11A	Indels	70-1-11A-Indels
70	72	1	0	I4411	Indels	70-1-I4411-Indels
70	2	1	0	11B_ss	Indels	70-1-11B_ss-Indels
70	2	2	0	11A	Indels	70-2-11A-Indels
70	1	2	0	11B	Indels	70-2-11B-Indels
70	2	3	0	11A	Indels	70-3-11A-Indels
70	287	1	46	11A	Normal	70-1-11A-Normal
70	2054	1	34	I4411	Normal	70-1-I4411-Normal
70	78	1	8	11B	Normal	70-1-11B-Normal
70	83	1	7	11B_ss	Normal	70-1-11B_ss-Normal
70	161	2	19	11A	Normal	70-2-11A-Normal
70	55	2	3	11B	Normal	70-2-11B-Normal
70	72	3	3	11A	Normal	70-3-11A-Normal
70	13	3	7	11B	Normal	70-3-11B-Normal
70	279	1	44	11A	SNPs	70-1-11A-SNPs
70	1982	1	34	I4411	SNPs	70-1-I4411-SNPs
70	78	1	8	11B	SNPs	70-1-11B-SNPs
70	81	1	7	11B_ss	SNPs	70-1-11B_ss-SNPs
70	159	2	19	11A	SNPs	70-2-11A-SNPs
70	54	2	3	11B	SNPs	70-2-11B-SNPs
70	70	3	3	11A	SNPs	70-3-11A-SNPs
70	13	3	7	11B	SNPs	70-3-11B-SNPs
71	5	1	1	11A	Indels	71-1-11A-Indels
71	69	1	2	I4411	Indels	71-1-I4411-Indels
71	1	1	0	11B	Indels	71-1-11B-Indels
71	4	1	0	11B_ss	Indels	71-1-11B_ss-Indels
71	1	2	0	11A	Indels	71-2-11A-Indels
71	2	2	0	11B	Indels	71-2-11B-Indels
71	1	3	0	11A	Indels	71-3-11A-Indels
71	1	3	0	11B	Indels	71-3-11B-Indels
71	242	1	51	11A	Normal	71-1-11A-Normal
71	2069	1	39	I4411	Normal	71-1-I4411-Normal
71	63	1	4	11B	Normal	71-1-11B-Normal
71	90	1	4	11B_ss	Normal	71-1-11B_ss-Normal
71	122	2	15	11A	Normal	71-2-11A-Normal
71	57	2	4	11B	Normal	71-2-11B-Normal
71	74	3	5	11A	Normal	71-3-11A-Normal
71	20	3	8	11B	Normal	71-3-11B-Normal
71	237	1	50	11A	SNPs	71-1-11A-SNPs
71	2000	1	37	I4411	SNPs	71-1-I4411-SNPs
71	62	1	4	11B	SNPs	71-1-11B-SNPs
71	86	1	4	11B_ss	SNPs	71-1-11B_ss-SNPs
71	121	2	15	11A	SNPs	71-2-11A-SNPs
71	55	2	4	11B	SNPs	71-2-11B-SNPs
71	73	3	5	11A	SNPs	71-3-11A-SNPs
71	19	3	8	11B	SNPs	71-3-11B-SNPs
72	4	1	0	11A	Indels	72-1-11A-Indels
72	60	1	3	I4411	Indels	72-1-I4411-Indels
72	1	1	0	11B_ss	Indels	72-1-11B_ss-Indels
72	1	2	1	11B	Indels	72-2-11B-Indels
72	4	3	1	11A	Indels	72-3-11A-Indels
72	233	1	42	11A	Normal	72-1-11A-Normal
72	1948	1	35	I4411	Normal	72-1-I4411-Normal
72	61	1	4	11B	Normal	72-1-11B-Normal
72	73	1	5	11B_ss	Normal	72-1-11B_ss-Normal
72	116	2	11	11A	Normal	72-2-11A-Normal
72	41	2	4	11B	Normal	72-2-11B-Normal
72	64	3	8	11A	Normal	72-3-11A-Normal
72	13	3	2	11B	Normal	72-3-11B-Normal
72	229	1	42	11A	SNPs	72-1-11A-SNPs
72	1888	1	32	I4411	SNPs	72-1-I4411-SNPs
72	61	1	4	11B	SNPs	72-1-11B-SNPs
72	72	1	5	11B_ss	SNPs	72-1-11B_ss-SNPs
72	116	2	11	11A	SNPs	72-2-11A-SNPs
72	40	2	3	11B	SNPs	72-2-11B-SNPs
72	60	3	7	11A	SNPs	72-3-11A-SNPs
72	13	3	2	11B	SNPs	72-3-11B-SNPs
73	5	1	2	11A	Indels	73-1-11A-Indels
73	72	1	3	I4411	Indels	73-1-I4411-Indels
73	2	1	0	11B	Indels	73-1-11B-Indels
73	2	1	0	11B_ss	Indels	73-1-11B_ss-Indels
73	4	2	0	11A	Indels	73-2-11A-Indels
73	1	3	0	11A	Indels	73-3-11A-Indels
73	196	1	35	11A	Normal	73-1-11A-Normal
73	1937	1	25	I4411	Normal	73-1-I4411-Normal
73	47	1	1	11B	Normal	73-1-11B-Normal
73	62	1	2	11B_ss	Normal	73-1-11B_ss-Normal
73	91	2	9	11A	Normal	73-2-11A-Normal
73	36	2	3	11B	Normal	73-2-11B-Normal
73	69	3	7	11A	Normal	73-3-11A-Normal
73	12	3	5	11B	Normal	73-3-11B-Normal
73	191	1	33	11A	SNPs	73-1-11A-SNPs
73	1865	1	22	I4411	SNPs	73-1-I4411-SNPs
73	45	1	1	11B	SNPs	73-1-11B-SNPs
73	60	1	2	11B_ss	SNPs	73-1-11B_ss-SNPs
73	87	2	9	11A	SNPs	73-2-11A-SNPs
73	36	2	3	11B	SNPs	73-2-11B-SNPs
73	68	3	7	11A	SNPs	73-3-11A-SNPs
73	12	3	5	11B	SNPs	73-3-11B-SNPs
74	1	1	0	11A	Indels	74-1-11A-Indels
74	82	1	0	I4411	Indels	74-1-I4411-Indels
74	4	1	1	11B	Indels	74-1-11B-Indels
74	1	1	0	11B_ss	Indels	74-1-11B_ss-Indels
74	2	2	1	11A	Indels	74-2-11A-Indels
74	4	2	0	11B	Indels	74-2-11B-Indels
74	175	1	38	11A	Normal	74-1-11A-Normal
74	1842	1	23	I4411	Normal	74-1-I4411-Normal
74	58	1	2	11B	Normal	74-1-11B-Normal
74	58	1	2	11B_ss	Normal	74-1-11B_ss-Normal
74	93	2	13	11A	Normal	74-2-11A-Normal
74	49	2	2	11B	Normal	74-2-11B-Normal
74	33	3	1	11A	Normal	74-3-11A-Normal
74	10	3	1	11B	Normal	74-3-11B-Normal
74	174	1	38	11A	SNPs	74-1-11A-SNPs
74	1760	1	23	I4411	SNPs	74-1-I4411-SNPs
74	54	1	1	11B	SNPs	74-1-11B-SNPs
74	57	1	2	11B_ss	SNPs	74-1-11B_ss-SNPs
74	91	2	12	11A	SNPs	74-2-11A-SNPs
74	45	2	2	11B	SNPs	74-2-11B-SNPs
74	33	3	1	11A	SNPs	74-3-11A-SNPs
74	10	3	1	11B	SNPs	74-3-11B-SNPs
75	4	1	0	11A	Indels	75-1-11A-Indels
75	77	1	1	I4411	Indels	75-1-I4411-Indels
75	2	1	0	11B	Indels	75-1-11B-Indels
75	2	1	0	11B_ss	Indels	75-1-11B_ss-Indels
75	1	2	0	11A	Indels	75-2-11A-Indels
75	1	2	0	11B	Indels	75-2-11B-Indels
75	147	1	29	11A	Normal	75-1-11A-Normal
75	1804	1	36	I4411	Normal	75-1-I4411-Normal
75	62	1	2	11B	Normal	75-1-11B-Normal
75	49	1	1	11B_ss	Normal	75-1-11B_ss-Normal
75	74	2	3	11A	Normal	75-2-11A-Normal
75	55	2	2	11B	Normal	75-2-11B-Normal
75	51	3	1	11A	Normal	75-3-11A-Normal
75	4	3	2	11B	Normal	75-3-11B-Normal
75	143	1	29	11A	SNPs	75-1-11A-SNPs
75	1727	1	35	I4411	SNPs	75-1-I4411-SNPs
75	60	1	2	11B	SNPs	75-1-11B-SNPs
75	47	1	1	11B_ss	SNPs	75-1-11B_ss-SNPs
75	73	2	3	11A	SNPs	75-2-11A-SNPs
75	54	2	2	11B	SNPs	75-2-11B-SNPs
75	51	3	1	11A	SNPs	75-3-11A-SNPs
75	4	3	2	11B	SNPs	75-3-11B-SNPs
76	3	1	1	11A	Indels	76-1-11A-Indels
76	67	1	1	I4411	Indels	76-1-I4411-Indels
76	5	1	1	11B	Indels	76-1-11B-Indels
76	1	1	0	11B_ss	Indels	76-1-11B_ss-Indels
76	1	2	0	11B	Indels	76-2-11B-Indels
76	144	1	27	11A	Normal	76-1-11A-Normal
76	1580	1	33	I4411	Normal	76-1-I4411-Normal
76	52	1	2	11B	Normal	76-1-11B-Normal
76	77	1	4	11B_ss	Normal	76-1-11B_ss-Normal
76	91	2	10	11A	Normal	76-2-11A-Normal
76	37	2	2	11B	Normal	76-2-11B-Normal
76	54	3	0	11A	Normal	76-3-11A-Normal
76	9	3	6	11B	Normal	76-3-11B-Normal
76	141	1	26	11A	SNPs	76-1-11A-SNPs
76	1513	1	32	I4411	SNPs	76-1-I4411-SNPs
76	47	1	1	11B	SNPs	76-1-11B-SNPs
76	76	1	4	11B_ss	SNPs	76-1-11B_ss-SNPs
76	91	2	10	11A	SNPs	76-2-11A-SNPs
76	36	2	2	11B	SNPs	76-2-11B-SNPs
76	54	3	0	11A	SNPs	76-3-11A-SNPs
76	9	3	6	11B	SNPs	76-3-11B-SNPs
77	5	1	1	11A	Indels	77-1-11A-Indels
77	70	1	1	I4411	Indels	77-1-I4411-Indels
77	2	1	0	11B	Indels	77-1-11B-Indels
77	1	1	0	11B_ss	Indels	77-1-11B_ss-Indels
77	2	2	0	11A	Indels	77-2-11A-Indels
77	1	3	0	11A	Indels	77-3-11A-Indels
77	123	1	19	11A	Normal	77-1-11A-Normal
77	1652	1	27	I4411	Normal	77-1-I4411-Normal
77	58	1	5	11B	Normal	77-1-11B-Normal
77	65	1	2	11B_ss	Normal	77-1-11B_ss-Normal
77	66	2	7	11A	Normal	77-2-11A-Normal
77	58	2	1	11B	Normal	77-2-11B-Normal
77	54	3	3	11A	Normal	77-3-11A-Normal
77	7	3	2	11B	Normal	77-3-11B-Normal
77	118	1	18	11A	SNPs	77-1-11A-SNPs
77	1582	1	26	I4411	SNPs	77-1-I4411-SNPs
77	56	1	5	11B	SNPs	77-1-11B-SNPs
77	64	1	2	11B_ss	SNPs	77-1-11B_ss-SNPs
77	64	2	7	11A	SNPs	77-2-11A-SNPs
77	58	2	1	11B	SNPs	77-2-11B-SNPs
77	53	3	3	11A	SNPs	77-3-11A-SNPs
77	7	3	2	11B	SNPs	77-3-11B-SNPs
78	1	1	0	11A	Indels	78-1-11A-Indels
78	51	1	0	I4411	Indels	78-1-I4411-Indels
78	2	1	0	11B	Indels	78-1-11B-Indels
78	2	1	0	11B_ss	Indels	78-1-11B_ss-Indels
78	4	2	0	11A	Indels	78-2-11A-Indels
78	1	2	0	11B	Indels	78-2-11B-Indels
78	2	3	0	11A	Indels	78-3-11A-Indels
78	1	3	1	11B	Indels	78-3-11B-Indels
78	120	1	24	11A	Normal	78-1-11A-Normal
78	1506	1	26	I4411	Normal	78-1-I4411-Normal
78	44	1	2	11B	Normal	78-1-11B-Normal
78	59	1	2	11B_ss	Normal	78-1-11B_ss-Normal
78	80	2	6	11A	Normal	78-2-11A-Normal
78	51	2	1	11B	Normal	78-2-11B-Normal
78	66	3	6	11A	Normal	78-3-11A-Normal
78	8	3	2	11B	Normal	78-3-11B-Normal
78	119	1	24	11A	SNPs	78-1-11A-SNPs
78	1455	1	26	I4411	SNPs	78-1-I4411-SNPs
78	42	1	2	11B	SNPs	78-1-11B-SNPs
78	57	1	2	11B_ss	SNPs	78-1-11B_ss-SNPs
78	76	2	6	11A	SNPs	78-2-11A-SNPs
78	50	2	1	11B	SNPs	78-2-11B-SNPs
78	64	3	6	11A	SNPs	78-3-11A-SNPs
78	7	3	1	11B	SNPs	78-3-11B-SNPs
79	3	1	1	11A	Indels	79-1-11A-Indels
79	60	1	0	I4411	Indels	79-1-I4411-Indels
79	1	1	0	11B	Indels	79-1-11B-Indels
79	2	1	0	11B_ss	Indels	79-1-11B_ss-Indels
79	2	2	0	11A	Indels	79-2-11A-Indels
79	2	2	0	11B	Indels	79-2-11B-Indels
79	2	3	1	11A	Indels	79-3-11A-Indels
79	121	1	22	11A	Normal	79-1-11A-Normal
79	1479	1	16	I4411	Normal	79-1-I4411-Normal
79	65	1	1	11B	Normal	79-1-11B-Normal
79	71	1	2	11B_ss	Normal	79-1-11B_ss-Normal
79	79	2	11	11A	Normal	79-2-11A-Normal
79	36	2	1	11B	Normal	79-2-11B-Normal
79	65	3	4	11A	Normal	79-3-11A-Normal
79	8	3	0	11B	Normal	79-3-11B-Normal
79	118	1	21	11A	SNPs	79-1-11A-SNPs
79	1419	1	16	I4411	SNPs	79-1-I4411-SNPs
79	64	1	1	11B	SNPs	79-1-11B-SNPs
79	69	1	2	11B_ss	SNPs	79-1-11B_ss-SNPs
79	77	2	11	11A	SNPs	79-2-11A-SNPs
79	34	2	1	11B	SNPs	79-2-11B-SNPs
79	63	3	3	11A	SNPs	79-3-11A-SNPs
79	8	3	0	11B	SNPs	79-3-11B-SNPs
80	4	1	1	11A	Indels	80-1-11A-Indels
80	63	1	0	I4411	Indels	80-1-I4411-Indels
80	1	1	0	11B_ss	Indels	80-1-11B_ss-Indels
80	2	2	0	11A	Indels	80-2-11A-Indels
80	2	2	0	11B	Indels	80-2-11B-Indels
80	2	3	0	11A	Indels	80-3-11A-Indels
80	107	1	17	11A	Normal	80-1-11A-Normal
80	1424	1	13	I4411	Normal	80-1-I4411-Normal
80	51	1	3	11B	Normal	80-1-11B-Normal
80	53	1	1	11B_ss	Normal	80-1-11B_ss-Normal
80	79	2	6	11A	Normal	80-2-11A-Normal
80	52	2	2	11B	Normal	80-2-11B-Normal
80	58	3	2	11A	Normal	80-3-11A-Normal
80	8	3	4	11B	Normal	80-3-11B-Normal
80	103	1	16	11A	SNPs	80-1-11A-SNPs
80	1361	1	13	I4411	SNPs	80-1-I4411-SNPs
80	51	1	3	11B	SNPs	80-1-11B-SNPs
80	52	1	1	11B_ss	SNPs	80-1-11B_ss-SNPs
80	77	2	6	11A	SNPs	80-2-11A-SNPs
80	50	2	2	11B	SNPs	80-2-11B-SNPs
80	56	3	2	11A	SNPs	80-3-11A-SNPs
80	8	3	4	11B	SNPs	80-3-11B-SNPs
81	6	1	2	11A	Indels	81-1-11A-Indels
81	57	1	1	I4411	Indels	81-1-I4411-Indels
81	3	1	0	11B_ss	Indels	81-1-11B_ss-Indels
81	2	2	0	11B	Indels	81-2-11B-Indels
81	1	3	0	11A	Indels	81-3-11A-Indels
81	97	1	19	11A	Normal	81-1-11A-Normal
81	1380	1	20	I4411	Normal	81-1-I4411-Normal
81	46	1	0	11B	Normal	81-1-11B-Normal
81	63	1	3	11B_ss	Normal	81-1-11B_ss-Normal
81	48	2	2	11A	Normal	81-2-11A-Normal
81	39	2	1	11B	Normal	81-2-11B-Normal
81	49	3	3	11A	Normal	81-3-11A-Normal
81	12	3	2	11B	Normal	81-3-11B-Normal
81	91	1	17	11A	SNPs	81-1-11A-SNPs
81	1323	1	19	I4411	SNPs	81-1-I4411-SNPs
81	46	1	0	11B	SNPs	81-1-11B-SNPs
81	60	1	3	11B_ss	SNPs	81-1-11B_ss-SNPs
81	48	2	2	11A	SNPs	81-2-11A-SNPs
81	37	2	1	11B	SNPs	81-2-11B-SNPs
81	48	3	3	11A	SNPs	81-3-11A-SNPs
81	12	3	2	11B	SNPs	81-3-11B-SNPs
82	1	1	0	11A	Indels	82-1-11A-Indels
82	47	1	1	I4411	Indels	82-1-I4411-Indels
82	3	1	0	11B_ss	Indels	82-1-11B_ss-Indels
82	2	2	0	11B	Indels	82-2-11B-Indels
82	74	1	15	11A	Normal	82-1-11A-Normal
82	1418	1	19	I4411	Normal	82-1-I4411-Normal
82	39	1	0	11B	Normal	82-1-11B-Normal
82	41	1	2	11B_ss	Normal	82-1-11B_ss-Normal
82	36	2	3	11A	Normal	82-2-11A-Normal
82	30	2	0	11B	Normal	82-2-11B-Normal
82	40	3	3	11A	Normal	82-3-11A-Normal
82	10	3	3	11B	Normal	82-3-11B-Normal
82	73	1	15	11A	SNPs	82-1-11A-SNPs
82	1371	1	18	I4411	SNPs	82-1-I4411-SNPs
82	39	1	0	11B	SNPs	82-1-11B-SNPs
82	38	1	2	11B_ss	SNPs	82-1-11B_ss-SNPs
82	36	2	3	11A	SNPs	82-2-11A-SNPs
82	28	2	0	11B	SNPs	82-2-11B-SNPs
82	40	3	3	11A	SNPs	82-3-11A-SNPs
82	10	3	3	11B	SNPs	82-3-11B-SNPs
83	1	1	0	11A	Indels	83-1-11A-Indels
83	55	1	1	I4411	Indels	83-1-I4411-Indels
83	1	1	0	11B	Indels	83-1-11B-Indels
83	1	1	0	11B_ss	Indels	83-1-11B_ss-Indels
83	1	2	0	11A	Indels	83-2-11A-Indels
83	2	2	0	11B	Indels	83-2-11B-Indels
83	70	1	10	11A	Normal	83-1-11A-Normal
83	1374	1	20	I4411	Normal	83-1-I4411-Normal
83	25	1	0	11B	Normal	83-1-11B-Normal
83	46	1	1	11B_ss	Normal	83-1-11B_ss-Normal
83	42	2	3	11A	Normal	83-2-11A-Normal
83	39	2	0	11B	Normal	83-2-11B-Normal
83	30	3	1	11A	Normal	83-3-11A-Normal
83	5	3	1	11B	Normal	83-3-11B-Normal
83	69	1	10	11A	SNPs	83-1-11A-SNPs
83	1319	1	19	I4411	SNPs	83-1-I4411-SNPs
83	24	1	0	11B	SNPs	83-1-11B-SNPs
83	45	1	1	11B_ss	SNPs	83-1-11B_ss-SNPs
83	41	2	3	11A	SNPs	83-2-11A-SNPs
83	37	2	0	11B	SNPs	83-2-11B-SNPs
83	30	3	1	11A	SNPs	83-3-11A-SNPs
83	5	3	1	11B	SNPs	83-3-11B-SNPs
84	2	1	0	11A	Indels	84-1-11A-Indels
84	47	1	1	I4411	Indels	84-1-I4411-Indels
84	2	1	0	11B_ss	Indels	84-1-11B_ss-Indels
84	1	2	0	11A	Indels	84-2-11A-Indels
84	4	2	0	11B	Indels	84-2-11B-Indels
84	64	1	14	11A	Normal	84-1-11A-Normal
84	1253	1	20	I4411	Normal	84-1-I4411-Normal
84	38	1	1	11B	Normal	84-1-11B-Normal
84	40	1	1	11B_ss	Normal	84-1-11B_ss-Normal
84	28	2	2	11A	Normal	84-2-11A-Normal
84	35	2	1	11B	Normal	84-2-11B-Normal
84	33	3	3	11A	Normal	84-3-11A-Normal
84	1	3	0	11B	Normal	84-3-11B-Normal
84	62	1	14	11A	SNPs	84-1-11A-SNPs
84	1206	1	19	I4411	SNPs	84-1-I4411-SNPs
84	38	1	1	11B	SNPs	84-1-11B-SNPs
84	38	1	1	11B_ss	SNPs	84-1-11B_ss-SNPs
84	27	2	2	11A	SNPs	84-2-11A-SNPs
84	31	2	1	11B	SNPs	84-2-11B-SNPs
84	33	3	3	11A	SNPs	84-3-11A-SNPs
84	1	3	0	11B	SNPs	84-3-11B-SNPs
85	3	1	0	11A	Indels	85-1-11A-Indels
85	48	1	0	I4411	Indels	85-1-I4411-Indels
85	1	1	0	11B	Indels	85-1-11B-Indels
85	1	1	0	11B_ss	Indels	85-1-11B_ss-Indels
85	2	2	0	11A	Indels	85-2-11A-Indels
85	2	2	0	11B	Indels	85-2-11B-Indels
85	1	3	0	11A	Indels	85-3-11A-Indels
85	1	3	0	11B	Indels	85-3-11B-Indels
85	62	1	9	11A	Normal	85-1-11A-Normal
85	1233	1	20	I4411	Normal	85-1-I4411-Normal
85	31	1	0	11B	Normal	85-1-11B-Normal
85	45	1	1	11B_ss	Normal	85-1-11B_ss-Normal
85	29	2	0	11A	Normal	85-2-11A-Normal
85	41	2	0	11B	Normal	85-2-11B-Normal
85	26	3	0	11A	Normal	85-3-11A-Normal
85	8	3	1	11B	Normal	85-3-11B-Normal
85	59	1	9	11A	SNPs	85-1-11A-SNPs
85	1185	1	20	I4411	SNPs	85-1-I4411-SNPs
85	30	1	0	11B	SNPs	85-1-11B-SNPs
85	44	1	1	11B_ss	SNPs	85-1-11B_ss-SNPs
85	27	2	0	11A	SNPs	85-2-11A-SNPs
85	39	2	0	11B	SNPs	85-2-11B-SNPs
85	25	3	0	11A	SNPs	85-3-11A-SNPs
85	7	3	1	11B	SNPs	85-3-11B-SNPs
86	1	1	0	11A	Indels	86-1-11A-Indels
86	45	1	0	I4411	Indels	86-1-I4411-Indels
86	2	2	0	11B	Indels	86-2-11B-Indels
